IC/JC코드,IC/JC명,노선코드,노선명,경도,위도
0010I00001,구서IC,0010,경부선,129.09762,35.25071
0010I00003,양산IC,0010,경부선,129.053314,35.378218
0010I00004,통도사IC,0010,경부선,129.097021,35.498747
0010I00005,서울산IC,0010,경부선,129.126636,35.553861
0010I00008,경주IC,0010,경부선,129.187987,35.806331
0010I00009,건천IC,0010,경부선,129.087849,35.843278
0010I00010,영천IC,0010,경부선,128.95146,35.92238
0010I00011,경산IC,0010,경부선,128.788225,35.878149
0010I00013,북대구IC,0010,경부선,128.579858,35.906979
0010I00016,남구미IC,0010,경부선,128.370149,36.068138
0010I00017,구미IC,0010,경부선,128.362376,36.107744
0010I00019,김천IC,0010,경부선,128.094609,36.13379
0010I00020,추풍령IC,0010,경부선,128.00169,36.200379
0010I00021,황간IC,0010,경부선,127.908085,36.220617
0010I00022,영동IC,0010,경부선,127.834783,36.270274
0010I00023,금강IC,0010,경부선,127.673348,36.279278
0010I00024,옥천IC,0010,경부선,127.559532,36.317789
0010I00026,대전IC,0010,경부선,127.452377,36.364235
0010I00028,신탄진IC,0010,경부선,127.420961,36.4408
0010I00029,남청주IC,0010,경부선,127.432157,36.534315
0010I00031,청주IC,0010,경부선,127.385014,36.626784
0010I00032,목천IC,0010,경부선,127.219247,36.75879
0010I00034,천안IC,0010,경부선,127.171309,36.826284
0010I00035,안성IC,0010,경부선,127.156069,36.994219
0010I00037,오산IC,0010,경부선,127.086371,37.142691
0010I00038,기흥IC,0010,경부선,127.102657,37.223075
0010I00039,수원신갈IC,0010,경부선,127.105614,37.266266
0010I00043,대왕판교IC,0010,경부선,127.091972,37.409462
0010I00045,양재IC,0010,경부선,127.042014,37.463229
0010I00049,왜관IC,0010,경부선,128.43469,35.977351
0010I00053,영천IC,0010,경부선,128.950876,35.920798
0010I00054,판교IC,0010,경부선,127.101818,37.397562
0010I00057,노포IC,0010,경부선,129.10072,35.285107
0010I00058,김천IC,0010,경부선,128.09453,36.135315
0010I00059,추풍령IC,0010,경부선,128.004895,36.199818
0010I00063,칠곡물류IC,0010,경부선,128.457305,35.956801
0010I00066,기흥동탄IC,0010,경부선,127.099472,37.216953
0010I00089,동김천IC,0010,경부선,128.17756,36.134976
0010I00092,북천안IC,0010,경부선,127.191351,36.897397
0010J00002,양산JCT,0010,경부선,129.043523,35.331863
0010J00006,언양JCT,0010,경부선,129.13001,35.566669
0010J00025,비룡JCT,0010,경부선,127.48177,36.346318
0010J00027,회덕JCT,0010,경부선,127.421007,36.405272
0010J00030,남이JCT,0010,경부선,127.422204,36.598011
0010J00033,천안JCT,0010,경부선,127.182262,36.769703
0010J00036,안성JCT,0010,경부선,127.140366,37.038514
0010J00040,신갈JCT,0010,경부선,127.10478,37.291807
0010J00042,판교JCT,0010,경부선,127.094529,37.40587
0010J90059,동대구JCT,0010,경부선,128.694347,35.887474
1900003829,영천JCT,0010,경부선,129.006724,35.920645
1900003990,구서IC,0010,경부선,129.099172,35.250426
1900003992,활천IC,0010,경부선,129.19018,35.711867
1900004109,활천 나들목IC,0010,경부선,129.192602,35.712424
1900004129,언양 분기점JCT,0010,경부선,129.131398,35.567444
1900004169,금토JCT,0010,경부선,127.085428,37.41547
1900004170,옥산하이패스IC,0010,경부선,127.372626,36.656813
1900004769,북구미IC,0010,경부선,128.302709,36.143558
1900004829,남사진위IC,0010,경부선,127.116617,37.106594
4000J00001,동탄JCT,0010,경부선,127.09599,37.17782
0101I00082,서영암IC,0101,남해선(영암순천),126.530841,34.75431
0101I00083,강진무위사IC,0101,남해선(영암순천),126.7173,34.698139
0101I00084,장흥IC,0101,남해선(영암순천),126.90619,34.70819
0101I00085,보성IC,0101,남해선(영암순천),127.10723,34.813939
0101I00086,벌교IC,0101,남해선(영암순천),127.29844,34.83491
0101I00087,순천만IC,0101,남해선(영암순천),127.48089,34.89736
0101I00088,학산IC,0101,남해선(영암순천),126.574528,34.736691
0101I00090,고흥IC,0101,남해선(영암순천),127.342841,34.826999
0101I00091,도롱IC,0101,남해선(영암순천),127.528668,34.905184
1900003830,장흥IC,0101,남해선(영암순천),126.907282,34.707695
1900003831,보성IC,0101,남해선(영암순천),127.103739,34.813151
1900003832,벌교IC,0101,남해선(영암순천),127.298311,34.833615
1900003833,순천만IC,0101,남해선(영암순천),127.481543,34.896622
0100I00001,서순천IC,0102,남해선(순천부산),127.483442,35.003848
0100I00002,순천IC,0102,남해선(순천부산),127.51682,34.988389
0100I00003,광양IC,0102,남해선(순천부산),127.605036,34.973735
0100I00004,동광양IC,0102,남해선(순천부산),127.659759,34.964335
0100I00005,옥곡IC,0102,남해선(순천부산),127.709739,34.986858
0100I00006,진월IC,0102,남해선(순천부산),127.750463,34.981291
0100I00008,진교IC,0102,남해선(순천부산),127.906129,35.040839
0100I00009,곤양IC,0102,남해선(순천부산),127.966751,35.057962
0100I00010,축동IC,0102,남해선(순천부산),128.042932,35.087315
0100I00011,사천IC,0102,남해선(순천부산),128.092716,35.117428
0100I00013,진주IC,0102,남해선(순천부산),128.125153,35.163719
0100I00014,문산IC,0102,남해선(순천부산),128.160084,35.173117
0100I00015,진성IC,0102,남해선(순천부산),128.227143,35.192444
0100I00016,지수IC,0102,남해선(순천부산),128.272933,35.226255
0100I00017,군북IC,0102,남해선(순천부산),128.327618,35.282173
0100I00018,장지IC,0102,남해선(순천부산),128.350507,35.293034
0100I00019,함안IC,0102,남해선(순천부산),128.392481,35.289477
0100I00025,동창원IC,0102,남해선(순천부산),128.699389,35.280124
0100I00026,진례IC,0102,남해선(순천부산),128.75648,35.260323
0100I00028,서김해IC,0102,남해선(순천부산),128.847577,35.221467
0100I00029,동김해IC,0102,남해선(순천부산),128.906,35.224869
0100I00031,하동IC,0102,남해선(순천부산),127.815999,35.004424
0100I00033,영암IC,0102,남해선(순천부산),126.586573,34.732198
0100I00041,동김해IC,0102,남해선(순천부산),128.897534,35.226192
0100I00042,물금IC,0102,남해선(순천부산),129.01145,35.3078
0100J00012,진주JCT,0102,남해선(순천부산),128.098089,35.13816
0100J00020,산인JCT,0102,남해선(순천부산),128.48083,35.2724
0100J00024,창원JCT,0102,남해선(순천부산),128.64123,35.27514
0100J00027,냉정JCT,0102,남해선(순천부산),128.794664,35.22148
0550J00001,대저JCT,0102,남해선(순천부산),128.976204,35.220943
1020I00003,북창원IC,0102,남해선(순천부산),128.607203,35.287106
1020J00002,칠원JCT,0102,남해선(순천부산),128.51051,35.2834
1900003972,칠원JCT,0102,남해선(순천부산),128.51211,35.28431
1900004830,서함양하이패스IC,0120,"광주대구선,무안광주선",127.710808,35.544174
0120I00020,무안공항IC,0121,무안광주선,126.390487,35.003671
0120I00021,북무안IC,0121,무안광주선,126.435812,35.01425
0120I00023,나주IC,0121,무안광주선,126.695496,35.103306
0120I00035,문평IC,0121,무안광주선,126.597922,35.068208
0120I00036,동함평IC,0121,무안광주선,126.545062,35.051868
0120J00022,함평JCT,0121,무안광주선,126.487202,35.03168
0121I00002,운수IC,0121,무안광주선,126.780425,35.159772
0121I00080,서광산IC,0121,무안광주선,126.734146,35.118296
0120I00003,순창IC,0122,광주대구선,127.146419,35.36268
