등록기관,종별,의료기관명,전화번호,소재지(지번),소재지(도로명),인허가일자
전라남도 신안군 보건소,,도초면보건지소,061-275-2301,전라남도 신안군 도초면 수항리 1355번지 2호,전라남도 신안군 도초면 서남문로 1515-16,1978-01-05
전라남도 영광군 보건소,치과의원,조광섭치과의원,061-353-2883,전라남도 영광군 영광읍 신하리 11번지 2호,"전라남도 영광군 영광읍 신남로 178, 3층",2004-09-24
전라남도 담양군 보건소,,담양군고서면보건지소,061-380-3606,전라남도 담양군 고서면 동운리 587-8,전라남도 담양군 고서면 원등1길 11,1967-06-15
전라남도 담양군 보건소,,담양군용면보건지소,061-380-3636,전라남도 담양군 용면 추성리 478-1,전라남도 담양군 용면 추월산로 369,1967-06-15
전라남도 담양군 보건소,,담양군봉산보건지소,061-380-3601,전라남도 담양군 봉산면 신학리 318-2 봉산면 보건지소,"전라남도 담양군 봉산면 신학길 8, 봉산면 보건지소",1967-06-15
전라남도 담양군 보건소,,담양군월산보건지소,061-380-3641,전라남도 담양군 월산면 월산리 452-1 월산 보건지소,"전라남도 담양군 월산면 도개길 15-36, 월산 보건지소",1967-06-15
전라남도 완도군 보건의료원,한의원,거북이한의원,061-555-7575,,"전라남도 완도군 완도읍 개포로62번길 33, 2층 (금화상사, 아트피아)",2017-04-04
전라남도 고흥군 보건소,치과의원,하얀치과의원,061-843-2080,전라남도 고흥군 도양읍 봉암리 2695번지 87호 소매점,"전라남도 고흥군 도양읍 녹동남촌1길 8, 소매점 2층",2018-03-19
전라남도 고흥군 보건소,치과의원,손치과의원,061-833-2875,전라남도 고흥군 고흥읍 서문리 218-46 치과병원,"전라남도 고흥군 고흥읍 터미널길 33, 치과병원",1985-04-27
전라남도 고흥군 보건소,치과의원,유치과의원,061-834-2323,전라남도 고흥군 고흥읍 서문리,전라남도 고흥군 고흥읍 홍교길 13-1,1989-05-26
