NO,폐교명,주소,위도,경도,건물규모,토지규모,총 금액,현재 상태,음식점 수,편의점 수,카페 수,병원 수,주유소 수,숙박시설 수,음식점 점수,편의점 점수,카페 점수,병원 점수,주유소 점수,숙박시설 점수,총 점수,점수 순위
1,유달초율도분교장,전라남도 목포시 율도동 261,34.8030682,126.3225411,441.85,5491,267854,미활용,1,0,0,0,0,10,15,1,1,1,1,93,112,88
2,목포서산초 충무분교장,"전라남도 목포시 달동 800-8, 800-31, 800-15, 800-19, 800-28, 800-38",34.7619469,126.367369,129.67,7093,211816,미활용,261,21,64,6,8,37,120,120,120,117,119,116,712,2
3,백초초우두분교장,전라남도 여수시 돌산읍 우두리 170,34.7142396,127.7769028,1152.97,7330,388222,대부,171,20,41,3,3,140,118,119,119,106,102,121,685,4
4,여안초여남중안도분교장,전라남도 여수시 남면 안도리 999-3,34.4848853,127.8057623,641.1,0,365563,대부,7,0,0,0,0,30,68,1,1,1,1,114,186,64
5,초도초등학교,전라남도 여수시 삼산면 초도리 산456,34.2365475,127.2496861,1086.78,6197,364168,대부,2,0,0,0,0,3,36,1,1,1,1,50,90,93
6,나진초용창분교장,전라남도 여수시 화양면 용주리 1515-17,34.7270527,127.6187748,1218.27,11223.74,1722827,대부,44,5,20,1,2,45,106,115,113,89,88,117,628,9
7,거문초손죽분교장,전라남도 여수시 삼산면 손죽리 산1466,34.2823347,127.3562603,410.8,7775,119224,대부,0,0,0,0,0,1,1,1,1,1,1,19,24,112
8,초도초광도분교장,전라남도 여수시 삼산면 손죽리 산54,34.2823347,127.3562603,10.4,761,5299,미활용,0,0,0,0,0,1,1,1,1,1,1,19,24,112
9,소라중앙초등학교,전라남도 여수시 소라면 봉두리 662,34.7963856,127.5998854,1033.5,6421,123629,미활용,25,1,4,1,0,7,95,73,89,89,1,83,430,31
10,금성초등학교,전라남도 여수시 돌산읍 금성리 475,34.5955867,127.7658727,991.92,5809,228555,미활용,10,1,3,0,0,20,75,73,77,1,1,106,333,42
11,율촌초송도분교장,전라남도 여수시 율촌면 여동리 185,34.8792075,127.6122371,0,3355,96509,미활용,13,3,3,0,4,4,83,104,77,1,107,62,434,30
12,돌산초대신분교장,전라남도 여수시 돌산읍 신복리 730,34.6139954,127.7518806,1162.55,12211,299225,미활용,17,3,2,4,0,15,88,104,62,112,1,102,469,27
13,연도초역포분교장,전라남도 여수시 남면 연도리 881,34.4340186,127.7999179,313,3786,67704,미활용,1,0,1,0,0,7,15,1,47,1,1,83,148,71
14,화태초여동분교장,전라남도 여수시 남면 횡간리 251,34.5798141,127.7598079,533.68,4570.6,121039,미활용,6,1,4,0,0,13,64,73,89,1,1,99,327,44
15,거문중초도분교장,전라남도 여수시 삼산면 초도리 산456,34.2365475,127.2496861,842.57,11860,179008,미활용,2,0,0,0,0,3,36,1,1,1,1,50,90,93
16,거문초덕촌분교장,전라남도 여수시 삼산면 덕촌리 814-1,34.0253069,127.3035237,541.15,7033,266290,미활용,25,0,3,0,0,28,95,1,77,1,1,112,287,52
17,거문초동도분교장,전라남도 여수시 삼산면 동도리 1012,34.048352,127.3191256,485.79,8224.09,430473,미활용,27,0,3,0,0,27,97,1,77,1,1,110,287,52
18,율촌초산수분교장,전라남도 여수시 율촌면 산수리 642,34.8813082,127.5535335,680.48,8592,425928,미활용,58,4,13,3,7,10,114,112,109,106,116,93,650,6
19,여안초등학교,전라남도 여수시 남면 안도리 991,34.4854725,127.8054974,1316.83,10033,878572,미활용,7,0,0,0,0,30,68,1,1,1,1,114,186,64
20,화태초등학교,전라남도 여수시 남면 화태리 313,34.5850046,127.7350513,1148.94,11847.6,1045599,미활용,4,1,4,0,0,12,50,73,89,1,1,97,311,47
21,화태초돌산중화태분교장,전라남도 여수시 남면 화태리 313,34.5850046,127.7350513,1144.28,0,457517,미활용,4,1,4,0,0,12,50,73,89,1,1,97,311,47
22,돌산초월호분교장,전라남도 여수시 화정면 월호리 131,34.5740987,127.7230032,610.28,6551,254385,미활용,1,0,2,0,0,10,15,1,62,1,1,93,173,67
23,봉덕초평사분교장,전라남도 여수시 돌산읍 평사리 928-14,34.6645124,127.7496049,994.19,6643,609052,미활용,8,1,3,0,2,54,72,73,77,1,88,119,430,31
24,소라초신흥분교장,전라남도 여수시 소라면 복산리 1309,34.7725403,127.5896494,1361.15,12068,596574,미활용,21,1,20,1,0,22,91,73,113,89,1,107,474,25
25,소라초여자분교장,전라남도 여수시 화정면 여자리 730,34.7663398,127.4922214,436.14,7012,407069,미활용,0,0,0,0,0,3,1,1,1,1,1,50,55,99
26,여남초연도분교장,전라남도 여수시 남면 연도리 424,34.4340186,127.7999179,2454.18,10043,1658474,미활용,1,0,1,0,0,7,15,1,47,1,1,83,148,71
27,황전초평죽분교장,전라남도 순천시 황전면 평촌리 산193-1,35.0798338,127.4635506,659,6948,44506,미활용,1,0,0,0,0,0,15,1,1,1,1,1,20,116
28,순천남초삼거분교장,전라남도 순천시 삼거동 125-1,34.9836458,127.4284867,0,13929.44,56959,대부,7,0,2,0,0,0,68,1,62,1,1,1,134,79
