NO,폐교명,주소,위도,경도,음식점 수,편의점 수,카페 수,병원 수,주유소/충전소 수,숙박시설 수
1,유달초율도분교장,전라남도 목포시 율도동 261,34.8030682,126.3225411,1,0,0,0,0,10
2,목포서산초 충무분교장,"전라남도 목포시 달동 800-8, 800-31, 800-15, 800-19, 800-28, 800-38",34.7619469,126.367369,45,21,45,6,8,37
3,백초초우두분교장,전라남도 여수시 돌산읍 우두리 170,34.7142396,127.7769028,45,20,41,3,3,45
4,여안초여남중안도분교장,전라남도 여수시 남면 안도리 999-3,34.4848853,127.8057623,7,0,0,0,0,30
5,초도초등학교,전라남도 여수시 삼산면 초도리 산456,34.2365475,127.2496861,2,0,0,0,0,3
6,나진초용창분교장,전라남도 여수시 화양면 용주리 1515-17,34.7270527,127.6187748,44,5,20,1,2,45
7,거문초손죽분교장,전라남도 여수시 삼산면 손죽리 산1466,34.2823347,127.3562603,0,0,0,0,0,1
8,초도초광도분교장,전라남도 여수시 삼산면 손죽리 산54,34.2823347,127.3562603,0,0,0,0,0,1
9,소라중앙초등학교,전라남도 여수시 소라면 봉두리 662,34.7963856,127.5998854,25,1,4,1,0,7
10,금성초등학교,전라남도 여수시 돌산읍 금성리 475,34.5955867,127.7658727,10,1,3,0,0,20
11,율촌초송도분교장,전라남도 여수시 율촌면 여동리 185,34.8792075,127.6122371,13,3,3,0,4,4
12,돌산초대신분교장,전라남도 여수시 돌산읍 신복리 730,34.6139954,127.7518806,17,3,2,4,0,15
13,연도초역포분교장,전라남도 여수시 남면 연도리 881,34.4340186,127.7999179,1,0,1,0,0,7
14,화태초여동분교장,전라남도 여수시 남면 횡간리 251,34.5798141,127.7598079,6,1,4,0,0,13
15,거문중초도분교장,전라남도 여수시 삼산면 초도리 산456,34.2365475,127.2496861,2,0,0,0,0,3
16,거문초덕촌분교장,전라남도 여수시 삼산면 덕촌리 814-1,34.0253069,127.3035237,25,0,3,0,0,28
17,거문초동도분교장,전라남도 여수시 삼산면 동도리 1012,34.048352,127.3191256,27,0,3,0,0,27
18,율촌초산수분교장,전라남도 여수시 율촌면 산수리 642,34.8813082,127.5535335,45,4,13,3,7,10
19,여안초등학교,전라남도 여수시 남면 안도리 991,34.4854725,127.8054974,7,0,0,0,0,30
20,화태초등학교,전라남도 여수시 남면 화태리 313,34.5850046,127.7350513,4,1,4,0,0,12
21,화태초돌산중화태분교장,전라남도 여수시 남면 화태리 313,34.5850046,127.7350513,4,1,4,0,0,12
22,돌산초월호분교장,전라남도 여수시 화정면 월호리 131,34.5740987,127.7230032,1,0,2,0,0,10
23,봉덕초평사분교장,전라남도 여수시 돌산읍 평사리 928-14,34.6645124,127.7496049,8,1,3,0,2,45
24,소라초신흥분교장,전라남도 여수시 소라면 복산리 1309,34.7725403,127.5896494,21,1,20,1,0,22
25,소라초여자분교장,전라남도 여수시 화정면 여자리 730,34.7663398,127.4922214,0,0,0,0,0,3
26,여남초연도분교장,전라남도 여수시 남면 연도리 424,34.4340186,127.7999179,1,0,1,0,0,7
27,황전초평죽분교장,전라남도 순천시 황전면 평촌리 산193-1,35.0798338,127.4635506,1,0,0,0,0,0
28,순천남초삼거분교장,전라남도 순천시 삼거동 125-1,34.9836458,127.4284867,7,0,2,0,0,0
29,해룡초농주분교장,전라남도 순천시 해룡면 농주리 12,34.8587897,127.5373935,11,1,16,0,0,15
30,낙안초창녕분교장,전라남도 순천시 낙안면 창녕리 572,34.9202455,127.3877598,1,0,0,0,0,2
31,황전북초용림분교장,전라남도 순천시 황전면 선변리 745,35.1593488,127.4580199,45,3,8,1,6,6
32,황전초대치분교장,전라남도 순천시 황전면 대치리 435,35.1267892,127.4680176,2,1,2,0,3,1
33,별량남초등학교,전라남도 순천시 별량면 대곡리 742-1,34.8642182,127.4646478,22,2,6,3,3,10
34,동산초판교분교장,전라남도 순천시 서면 판교리 303,35.0233199,127.5022396,9,0,5,1,0,4
35,별량초마산분교장,전라남도 순천시 별량면 마산리 249-1,34.8452808,127.451908,10,3,3,1,5,5
36,주암초어왕분교장,전라남도 순천시 주암면 어왕리 1,35.0975197,127.2370416,34,3,2,2,0,3
37,승주초죽학분교장,전라남도 순천시 승주읍 죽학리 71-4,34.9907378,127.3626084,22,0,1,0,0,17
38,황전초회덕분교장,전라남도 순천시 황전면 회룡리 756,35.1085222,127.4951132,0,0,0,0,0,0
39,다도초덕림분교장,전라남도 나주시 다도면 덕림리 536,34.8954416,126.8292183,1,0,0,0,0,0
40,다시초국동분교장,전라남도 나주시 문평면 국동리 678,35.0717654,126.6516262,1,0,0,0,0,1
41,문평남초등학교,전라남도 나주시 문평면 옥당리 1119,35.0298092,126.6108903,23,2,6,6,4,1
42,다시남초등학교,전라남도 나주시 다시면 문동리 654,34.9950455,126.6194014,12,0,3,3,0,6
43,나주초이화분교장,전라남도 나주시 토계동 318,35.0201223,126.7294523,45,27,45,45,6,45
44,남평동초등학교,전라남도 나주시 남평읍 우산리 984,34.9914216,126.8815305,19,1,5,0,1,6
45,공산고등학교,전라남도 나주시 공산면 금곡리 819-4,34.9418655,126.6182125,17,1,1,5,1,0
